timestamp,open,high,low,close,volume,amount,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5
2022-09-30 10:17:42,11.85,11.85,11.85,11.85,1200,1422000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,139600,119900,154000,266100,386400,80000,85000,105600,269300,76600
2022-09-30 10:17:45,,,,11.85,0,0.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,139800,119400,154600,269800,389600,80000,77800,105600,269300,81600
2022-09-30 10:17:48,11.85,11.85,11.85,11.85,200,237000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,139500,119400,155700,269800,389600,79800,77800,103900,269300,82100
2022-09-30 10:17:51,,,,11.85,0,0.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,141300,119000,157700,270300,392300,81600,79700,103900,269300,82100
2022-09-30 10:17:54,11.85,11.85,11.85,11.85,2300,2725500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,149300,119000,157700,269800,397400,88000,75700,103900,269300,82100
2022-09-30 10:17:57,11.84,11.85,11.84,11.85,6000,7107000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,152800,119000,173700,270100,398400,84800,75700,103900,269300,82100
2022-09-30 10:18:00,11.85,11.85,11.84,11.84,4000,4739700.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,155500,119000,173700,270100,402400,81700,75700,103900,269300,82100
2022-09-30 10:18:03,11.85,11.85,11.85,11.85,1100,1303500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,169100,119600,173700,305100,402400,82900,75700,103900,269300,82100
2022-09-30 10:18:06,11.85,11.85,11.84,11.85,36600,43360900.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,159700,129700,171700,305100,402400,60000,75700,103900,269300,82100
2022-09-30 10:18:09,11.84,11.85,11.84,11.84,2800,3315700.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,157900,129600,171800,305100,401400,61000,75700,103900,269300,82100
